VRG,PUR,VID,TEX,RAN
59240.004,164447.9696,38576.1763,54495.8055,98783.9841
61079.956,165435.8469,38612.0634,70671.9559,100715.9773
58059.9461,164163.7323,38572.0176,69495.9407,100755.8902
61383.9185,165387.7896,38675.9644,41064.0236,101015.8999
61771.8372,166003.866,38587.9844,46743.9484,99663.882
59608.0063,164304.0099,38679.9547,66888.0193,101296.0328
60383.8816,164591.9314,38596.0436,85787.9896,98716.0065
60703.8957,165451.8926,38667.9848,73603.9308,101171.866
61083.945,164439.8849,38595.9778,67487.8946,99584.0375
58848.0346,163411.8812,38668.0475,57376.0077,102144.0172
61211.9035,165291.9775,38587.9269,54095.9405,98915.7467
61344.0285,165463.8508,38607.9097,59835.9936,100111.9581
59507.8707,165379.7743,38587.9683,71544.0025,98583.9165
58207.9135,164563.8396,38628.0504,44156.0682,99919.7965
59167.9516,164407.811,38575.9177,51816.1101,101620.0205
59632.1148,164584.1701,38684.1567,70496.0254,98848.06
58847.9594,164228.1014,38588.0299,68236.1731,98640.1447
58711.9459,164467.9731,38671.9199,46063.9658,100815.9663
59367.9135,164863.8612,38587.9816,47079.9525,98175.9402
62472.0657,165823.9652,38611.9738,55124.0294,98907.9432
61172.0121,164451.8997,38587.9635,69643.8064,99911.9292
61031.8613,164539.975,38612.0781,48060.0976,101307.7381
60576.0651,164815.9753,38588.0126,46276.038,96803.9845
62395.9884,166080.0693,38611.918,60232.0212,100447.9888
60631.9788,165543.893,38587.9757,71271.8818,100779.9984
60120.0345,165196.0194,38667.991,104111.9447,100767.9918
61716.0817,166771.9988,38600.0408,75668.0298,98476.022
60667.9052,166571.9571,38675.9136,47843.943,101528.0177
58787.9619,164375.8281,38587.9441,50876.0292,100111.9911
59407.722,164771.9886,38672.0591,50955.9917,98315.8829
58851.8698,164127.9666,38587.995,51291.957,98179.9237
61180.0717,166067.9327,38675.9614,44120.1446,100644.077
61451.9549,165691.863,38587.8481,53611.9813,98260.0732
59552.0084,164651.9647,38672.1319,62016.002,100100.0839
60572.1038,164395.8715,38592.0015,73187.9733,101591.9761
59744.0021,164807.9426,38683.9072,56004.0508,102140.06
58968.0659,164315.9854,38583.9985,67819.9372,97995.975
62164.0141,166023.9518,38668.0113,47976.034,97836.0301
61475.9494,164460.0111,38588.0078,42032.03,100751.954
58128.0463,163380.0041,38695.9927,63871.9389,100023.9332
61559.9689,165591.958,38587.963,55939.8882,96728.0282
57744.0819,164195.9161,38671.979,50507.927,100023.9559
58719.9999,164132.0026,38596.0383,54772.0265,99723.9546
60435.9867,165011.922,38627.9838,45083.9796,100231.9891
60499.9952,164976.0058,38575.9704,48587.9603,100235.9532
59591.9714,164227.9971,38627.9688,43136.0763,102007.9023
58067.9783,164719.9634,38579.9319,48087.9763,100172.0137
60595.9618,165400.0051,38600.0063,58583.9602,100871.9472
58267.9777,163916.0008,38588.166,68744.0491,99807.9158
61715.9051,166023.9366,38635.9576,48928.0081,99863.9094
59304.0005,165284.0167,38575.9179,44592.0117,100755.969
58884.0007,163959.9009,38627.9607,37751.9954,100167.9646
58999.9693,164739.7872,38576.1299,36056.0708,102191.9868
58256.0067,163795.5717,38659.8127,31943.9831,99716.4252
61079.9339,165131.9369,38587.9659,30360.0257,98654.7777
61243.967,164919.9157,38678.7386,39315.9148,102098.7421
61724.0907,165883.842,38628.1304,36143.9344,103095.6004
58336.0347,162600.0291,38668.0088,53360.0532,100511.9527
59612.1166,164627.8445,38587.997,55480.0518,98571.9696
59048.019,165375.9522,38604.026,48871.9661,99443.8508
58335.9817,165467.97,38580.0568,48412.0691,101263.9542
60087.9756,164967.9374,38599.9716,56631.9612,100559.9904
59188.0871,165139.9674,38576.0373,62384.0582,95919.975
60723.96,164452.1957,38667.9767,59220.1041,100812.0766
59064.0481,165280.1686,38588.1034,72000.0606,96592.0791
61508.092,164528.3055,38624.0736,69976.0754,100200.0613
60116.1266,164072.1988,38580.0835,71767.9762,98572.0878
58760.0655,164252.1282,38620.2208,69960.0522,100924.2549
58940.0627,164752.0547,38592.063,66760.0587,97396.0982
58356.0829,164472.1316,38624.121,33208.1104,99416.0479
59404.1664,164728.1598,38588.0641,50200.1315,99140.123
58356.1029,164284.214,38612.0708,42640.0336,101216.1896
60716.033,165160.2457,38584.1031,42404.0822,98584.0351
59691.9787,164776.1004,38624.1152,44223.9776,101648.3379
59019.9748,164411.8373,38643.8281,42211.9761,99575.9792
59000.0693,163575.9931,38635.9573,43283.9904,99519.925
58831.9371,163831.8928,38596.0591,36903.9645,101032.0212
60360.028,165255.9534,38627.9582,48507.9628,99807.9406
57984.0589,164135.79,38576.1019,45095.9735,97923.8861
60792.029,164787.8412,38608.0766,67107.9085,101652.0131
60159.9416,165031.8728,38576.0267,62596.0697,97955.855
59043.9369,164827.8935,38600.0784,37495.918,99955.9418
61231.9667,164747.8518,38576.0049,38480.0246,100859.935
59775.8066,164439.606,38667.9429,47047.9384,99383.692
59603.9672,165347.6419,38591.8537,45507.8608,99227.7384
61087.8305,165775.5504,38675.9062,59115.9821,100859.7174
61387.8067,164763.5981,38587.8719,47608.0322,99003.6461
61343.8391,165015.671,38599.8738,59435.9966,99783.7082
58607.8296,163811.6881,38571.9011,72479.8479,99719.8361
58763.8385,165459.5971,38607.9513,69591.8302,99443.776
57199.8046,163799.5804,38575.9094,57011.8574,100235.8127
60975.8757,164627.5799,38611.978,51995.8545,100031.7672
61243.8129,165279.5852,38576.0024,47919.9078,100659.7611
61791.765,166067.5658,38599.9405,32551.9468,100939.6434
60039.9579,164755.5499,38575.9784,31296.0418,101471.8251
59787.839,165287.5601,38611.8735,41471.9295,98859.7327
62635.8492,165323.5313,38575.9648,41495.885,98739.7459
59263.8467,164523.564,38699.8975,57087.9196,99503.8379
60571.8024,164347.6935,38575.9304,59119.7719,99743.712
61115.9043,164843.6103,38667.8731,46051.8761,98523.7914
60995.8065,165871.6094,38587.9948,42703.9063,102051.7293
61023.9299,164247.573,38623.8903,57279.9736,97831.682
61319.8581,165715.6639,38583.9928,59927.8173,100571.7417
58603.8369,164471.6439,38667.9814,49759.9304,100135.8025
61103.9321,166463.5946,38587.8881,58631.9394,99059.8503
60211.8682,165231.6257,38671.8266,53287.9481,97427.7063
61247.8156,165255.5937,38587.8781,60071.869,101387.6911
58787.8808,163575.5601,38635.8736,81971.774,100803.5107
60087.8462,164643.5703,38587.8928,77295.8962,99967.861
59747.8324,164447.7323,38623.8947,34679.9074,100711.8113
56975.8272,162675.6119,38576.0141,37051.8856,100735.811
62259.8054,167107.6656,38627.8974,53523.9763,101559.8353
62007.7934,166207.5673,38599.8863,42723.9313,100467.6896
61131.8188,164931.618,38631.93,55547.9882,99283.8088
57747.8538,164055.3469,38575.9311,56251.7775,99819.7292
60427.9364,165631.653,38624.0288,44219.9023,101191.634
59527.8474,164283.5402,38575.9745,48831.9134,98103.9046
60183.8233,165543.6853,38623.8396,40603.9277,100187.7206
60519.9338,164967.6964,38587.9477,49963.8846,100103.7689
61547.8623,165951.6017,38623.8557,50435.855,100891.7443
61039.8971,165219.6199,38591.9236,57579.8653,98459.7557
57291.9677,163503.5889,38624.0268,54119.8778,100231.7537
61535.8206,165807.5862,38571.9715,58819.8745,98795.8677
62547.7788,164919.5006,38599.9271,27175.9252,99723.6833
60047.8472,164927.6097,38583.8995,28831.9301,101139.7694
61543.8078,165435.6086,38643.8853,87507.7445,97463.6934
61859.7475,165903.5418,38599.9603,70559.8725,97519.8737
58603.9262,163915.5823,38671.9153,43843.9431,99875.7484
59659.8956,164175.5585,38579.8427,44779.9351,100715.771
59403.7817,164503.5414,38595.9161,52375.8532,96839.7495
57371.8904,163451.5834,38603.9317,59559.922,100323.691
60231.9144,164191.6772,38667.9593,65547.8105,98643.7504
62615.8237,166511.5014,38583.8962,48435.8867,101419.7434
59971.824,164935.6574,38599.9668,67435.8211,100035.7291
56635.943,163039.7321,38575.9112,42099.8411,99991.6578
58571.8127,163351.5852,38627.9021,55163.8594,100283.7567
60979.9006,164875.6871,38575.9383,58543.8665,99047.8198
63811.8636,166703.4716,38671.9144,78375.8559,99023.7548
59799.8659,164583.4075,38587.9488,81259.7455,98367.7737
59083.8549,164939.4934,38667.8425,46087.8875,99551.8635
59079.843,164183.6808,38595.9214,46635.8873,100551.7233
59883.9413,164851.5856,38595.9931,55047.8158,99519.7874
61331.7985,164827.6162,38575.972,44503.9264,101023.6515
59791.6664,165527.5987,38607.9047,68439.8125,101775.7584
59567.8028,165123.5788,38579.865,36323.8979,100547.6594
59855.84,164583.5567,38595.9007,37611.9152,101371.7916
59343.8589,165119.6022,38587.9507,50643.9697,95443.7361
60303.8445,165143.5861,38611.8699,41843.8516,100611.6888
62571.8712,166215.58,38575.9533,38475.8389,100131.742
59043.8573,164171.6246,38611.8882,57807.8921,99607.7299
59779.8075,165079.713,38575.8272,49727.853,99911.7345
60415.8507,166163.6217,38595.8884,33427.9109,100647.7652
59647.876,164503.5668,38575.857,32235.9809,99215.7829
59420.0299,164940.1527,38692.0206,49492.0776,99296.104
61480.0491,164852.128,38587.9208,49852.0726,99016.0649
60776.0556,165244.2479,38608.0077,45415.9498,101888.075
61456.1662,165716.2023,38588.1317,42344.051,98484.0344
61599.825,165668.1016,38624.1438,64664.0171,100855.9481
63051.9966,166320.0949,38576.1092,61168.0387,100683.946
59284.0063,164828.0954,38712.0115,51528.0289,97820.0645
59216.0178,164796.1034,38596.0281,59088.0508,101652.0708
61100.0355,165920.1242,38620.0178,66348.058,100516.0592
59780.0482,164875.8451,38612.008,52440.0738,100192.0744
62200.0267,166695.7426,38692.0499,37115.9819,100000.0744
57868.045,163219.5842,38588.1413,38760.0323,100044.0832
62656.0235,165888.0659,38631.9879,50856.061,101260.0754
60272.0431,165063.8493,38608.0415,50708.0374,102156.0672
59747.94,164676.1427,38627.995,72764.0588,100964.082
60296.1153,164388.1295,38604.0527,64812.0525,101936.0639
61227.9844,164484.0662,38675.9396,69588.056,99339.3075
61780.0237,165816.0963,38600.0279,67648.0914,101687.9955
59599.8196,164664.111,38615.9614,72660.0377,96616.1131
63312.0935,166384.0911,38572.0527,66964.054,101452.0633
58060.0375,163704.0714,38660.0311,69192.1443,102168.0661
60296.0575,164676.1972,38603.995,37140.1078,98760.2161
58424.0293,163336.003,38623.987,85452.1689,100500.0693
58764.1584,163920.1104,38580.0177,78100.1558,98464.0286
58948.1127,164428.035,38623.9772,53436.0555,100112.0491
59884.0669,165728.1432,38584.0566,55764.0463,100736.0778
62324.1347,166560.1819,38616.0126,102116.0476,101023.7729
61856.1069,166104.1616,38576.0415,75744.1717,102280.0407
61044.0276,165180.0782,38624.0808,70764.0264,100880.1746
60892.0583,165756.1943,38584.06,64644.0317,99536.1691
58280.1568,163732.2417,38624.1346,54436.0474,102668.3796
62584.0512,166615.998,38591.9173,58160.0476,98460.2816
61644.0885,165656.1156,38624.0485,50140.1048,100904.1932
61860.0291,165632.1211,38588.0997,56740.2334,99668.1208
59700.1496,163892.1121,38607.8504,50312.1486,100908.1152
57292.0485,163044.2173,38588.1351,50044.0073,99552.2116
60212.0782,164956.0981,38667.738,47020.03,100208.0488
60335.9672,164688.114,38587.9875,47808.1509,98368.0401
59116.0452,164864.0263,38672.0891,57180.0295,100188.0052
60991.9443,165432.1875,38571.9553,56284.156,100484.0604
61144.0068,166116.1512,38596.0394,39999.9754,99720.1648
59168.0375,164396.0649,38571.9945,42272.0489,100236.0924
57520.0458,163068.096,38668.1065,44300.1566,100020.029
61300.1216,165388.1374,38580.031,45020.0178,100524.1253
61100.0068,166060.0111,38608.0626,70484.1127,101328.1422
58600.0425,163220.165,38576.033,76692.0409,98116.1858
59384.1191,164432.0671,38600.1296,50399.902,100524.0158
60864.0153,165112.0748,38595.9291,70324.0162,100900.0463
59339.964,165095.9985,38676.0254,45552.0015,100063.9658
58748.0032,163823.9655,38587.9781,55571.9591,98919.9493
57984.0225,164084.0441,38628.0159,97459.9733,102031.9623
56508.0363,164036.0291,38576.0233,89439.9725,100024.0055
56724.0232,163200.027,38616.111,43259.9937,99919.8955
60776.0058,164995.9977,38587.989,48972.0392,99979.9432
60744.0221,166260.0418,38611.9627,46635.9884,99751.9024
60107.9952,164772.0347,38575.9883,44072.089,96247.9722
59844.0111,164796.0907,38655.9625,51360.1353,98724.0449
58556.1332,163460.0754,38579.9299,51560.0787,99384.0434
60260.0921,164268.0011,38616.0558,45399.9145,101060.0116
60103.97,165047.9953,38588.0915,47191.9914,98607.9269
60675.9834,164764.0388,38608.0856,46800.0262,99355.9826
63188.0725,167260.0048,38576.0318,49459.9855,100780.034
59688.0093,165867.9658,38667.9278,61076.0295,100072.0013
59472.053,164607.8954,38591.8617,46051.9693,100703.9717
61971.9618,166799.9184,38600.0564,59527.9491,100056.0449
58656.0242,163535.9656,38588.0401,59191.9593,100840.0147
60012.0672,163927.9487,38599.9717,40567.9408,99532.1195
58179.9603,163584.013,38664.0696,42716.0629,101731.9747
59940.0815,165568.0099,38600.0016,67064.0991,101975.8732
59904.0726,164764.1083,38576.1273,60944.0786,97960.0647
59851.9888,165168.0121,38628.1081,53268.0177,100456.0051
59228.0071,164296.0113,38599.8315,61188.0769,102075.9761
58847.9878,164427.9765,38656.0081,84479.9529,102144.0814
59432.0164,164128.0231,38584.1335,84499.9771,101088.0898
59955.9887,164507.9976,38635.9751,60784.0085,98155.9563
58724.0759,164340.0245,38576.0354,54431.9508,101844.0296
60431.9865,165579.984,38628.0204,33411.9891,99408.0865
60863.8055,165007.9597,38600.066,37220.0295,101788.0082
61732.0341,165819.9419,38628.0372,43687.9761,100112.0412
58340.0303,163924.024,38579.9825,46400.1263,99051.9842
61999.8682,166939.7862,38672.0327,48591.8912,99011.8161
61579.9013,165643.6583,38584.0093,63211.9584,99731.8456
58387.8968,164583.6239,38611.9676,43531.9297,100835.7923
60231.9961,164067.6998,38575.9075,40447.9037,100087.8377
58599.9931,164631.6911,38611.9981,50139.8775,101007.8461
62119.9047,165643.6555,38579.9546,42079.9125,102511.7917
58903.8831,164939.7589,38671.9041,36435.9597,99987.8155
59087.8909,164071.7941,38575.8831,43147.9121,100199.5774
58339.9,164763.6658,38611.8976,66575.8713,99627.8437
60207.9667,165247.6816,38580.0278,83963.9554,98079.8603
57236.1967,163699.6386,38621.544,49763.2056,100526.6356
61164.7145,165927.907,38581.5799,63525.1498,102594.6956
58360.4643,164731.8003,38633.5837,37361.2458,99978.3867
60576.6789,165819.9785,38585.4622,36525.2849,98966.1887
62201.1541,166196.0475,38621.3557,81587.7638,99730.4243
59776.6011,165015.8386,38573.6173,68233.8857,98418.2672
60316.7282,166304.0746,38605.5446,43958.3459,98690.242
59892.6378,165067.7869,38573.7057,57596.4146,100246.4546
58640.4981,164863.6798,38653.4827,69246.0191,101290.5834
58696.416,164323.7613,38597.6749,56316.1145,98470.1518
60048.5985,165007.8664,38657.5894,58464.5533,100242.3309
60416.5687,164975.8544,38577.519,55920.0953,99122.262
58572.4758,163931.5844,38609.6897,51967.5526,99194.539
61176.6975,165319.9553,38585.7399,43854.3238,99650.3884
60068.5444,164643.8345,38625.5535,39913.8448,98926.2144
59912.643,165067.7811,38573.5968,39877.698,100110.6124
59344.4698,165692.0125,38625.6053,73470.736,101274.8389
63581.2868,167412.1886,38581.6614,63245.1108,102478.7937
57672.2988,163787.6246,38673.5359,51399.3178,98074.1598
60532.6418,165848.1204,38585.473,57604.4029,100526.4683
61100.6805,165635.9241,38625.5791,52623.6224,98358.3196
59912.7256,164719.8156,38585.6134,33832.898,98026.047
60780.8211,166171.9431,38645.5369,47350.7516,100122.8317
59972.7626,165283.8021,38573.4498,52687.6335,100078.2753
60264.8804,164843.9152,38669.499,87940.5109,99794.4205
60036.7737,165487.9716,38585.5205,83407.944,100558.5574
62629.3149,166528.2709,38625.5936,46330.6054,99918.4682
58236.45,164763.7859,38585.7026,55428.074,99342.384
60484.8422,164591.7921,38633.6548,63917.3997,99766.6359
61044.9542,164751.9716,38573.6912,76659.3256,101306.6222
58536.2433,165355.8714,38597.2704,51023.3458,98950.2453
60036.5659,165467.9081,38577.4795,49683.0097,100870.6287
60776.7579,164387.7479,38605.5966,51039.3382,99722.3428
61184.9202,165979.9696,38589.571,55728.0609,99374.3804
62729.1262,167096.0685,38613.7627,46346.5748,98482.2071
60988.8059,165511.9599,38577.5908,52763.8105,98025.9492
58916.4872,165271.8701,38653.4958,85584.3347,101942.6943
61556.8841,165851.8973,38585.4438,60040.6334,100946.5459
56040.1732,161799.4405,38637.6545,57524.2652,101002.5411
62805.0675,166315.9592,38585.5627,43494.3038,100906.527
60220.6083,165647.988,38625.5698,50687.2895,97890.0812
62160.9199,165247.8742,38573.5479,52143.5244,100978.6353
58756.5446,163511.6609,38641.8447,61225.0405,99138.3993
60504.9527,165099.8096,38589.6685,50379.3062,99350.4737
61040.8373,165567.9894,38641.5104,37473.4336,99586.4308
61512.8342,164863.9998,38585.5036,38925.5962,98250.1618
60864.7886,165595.986,38629.4967,59484.6151,102666.6778
60372.5563,164867.8545,38577.7708,58080.3373,100734.5032
59380.6154,164383.85,38637.6294,52147.5754,97466.0512
61696.937,165127.9041,38577.5387,51351.5339,99446.3574
59632.7578,164939.6807,38617.4134,60060.6928,102170.7782
60184.6991,165232.0079,38577.4975,39441.6393,98370.3209
59920.6256,165543.9098,38669.5666,56252.0708,101474.6033
58724.5283,163975.7338,38593.6861,49331.1019,99298.5151
62272.9537,165799.8881,38641.6284,42690.2619,100874.5507
61500.8863,166160.0087,38585.4582,42838.0656,99834.4059
58940.4884,163683.6297,38621.5088,51147.4505,98294.1858
60672.7757,164163.7501,38589.6426,45530.4562,99854.4133
