,R1,R2,R3
S179,0.10805092936699759,,
S180,0.2673499602428936,,
S181,,,
S182,0.02011333915798022,,
S183,0.07679732428947524,,0.024807773565951357
S184,,,
S185,,,
S186,0.5260525584655532,,
S187,0.022355895234916504,,
S188,,,
S189,0.31997742021211917,,
S190,0.6600103986632659,,
S191,0.02489417787778094,,
S192,0.06955370398813511,,
S193,,,
S194,0.06374220149189473,,
S195,,,
S196,0.28930671422131504,,
S197,0.023927177944830638,,
S198,0.9989464930576469,,
S199,0.047416724341406064,0.08861000743492115,0.022511449945231656
S200,,,
S201,0.9620434255287303,0.03785089286243218,0.04933400828294601
S202,,,
S203,0.147294170317985,,
S204,,,
S205,0.020812063995935125,,
S206,0.03629642325491125,,
S207,0.013360202450628838,,
S208,0.29629532900910277,,
S209,0.014790549429683891,,0.013796242448436311
S210,0.045581091475118594,,
S211,0.01334875498720391,,
S212,0.13286624880464268,,
S213,0.06902761340756115,,
S214,0.013272912639567886,0.033229412455616295,
S215,0.2571345783809595,,
S216,0.05155227712350989,,0.07756301842298644
S217,0.026841292207170582,,
S218,0.05271819538009727,,
S219,0.0176577262390273,,
S220,0.0490288660464318,0.14799390868710752,0.05466724678932287
S221,0.01598552655212271,,
S222,0.3446379094442564,,
S223,0.06798319902424717,,0.044015153911927944
S224,0.4656886448927783,,
S225,0.18498095499670988,,
S226,0.01989198543375605,,0.04964056202695896
S227,,,
S228,0.6846223935424585,,
S229,0.247673395867244,,
S230,,,
S231,0.03240058185861765,,
S232,0.01215125400415814,,
S233,0.1054928407555363,0.026327968606655715,0.01895998768853622
S234,0.032310114574491185,,
S235,0.022651679804515518,,
S236,,,
S237,0.15648648074451693,,
S238,0.05528075005026974,,
S239,,,
S240,0.028622118018521304,,
S241,0.02195751028176602,,
S242,0.08630092614759821,,
S243,0.051000652764953726,,
S244,0.025969077350078983,,0.5468076853190288
S245,0.6290731395683427,,
S246,0.03961739798233306,0.01953000249165342,
S247,2.035415872942001,,
S248,0.5564840418436586,,0.04061775649673947
S249,0.01906675245617629,,
S250,0.07271174365226968,,
S251,0.13371220544532975,0.01461521401525399,
S252,,,
S253,0.5711496221322098,,
S254,0.3401449581646577,,
S255,0.34516354610776456,,
S256,0.06252316517399562,,
S257,0.37668513668890613,,
S258,,,
S259,0.07384990765849957,,
S260,0.015541620325483401,,
S261,0.022450392900321987,,0.03052013916207033
S262,0.3508720751358917,,
S263,,,
S264,0.9722243091587167,,
S265,0.048971609706253985,0.01850184819588156,0.016009490807376948
S266,0.021683745658312666,,
S267,0.014775461117664559,,
S268,0.16563456590675985,,
S269,0.042805183218323946,0.01579880279313503,
S270,0.15929802116455463,,
S271,0.0342179479844499,,0.014965477044097805
S272,0.5855689740849724,,
S273,0.9688692935820669,,
S274,0.09400094353159237,,0.4667041299543683
S275,0.027405262558424744,,
S276,0.017437890310342465,0.016864894877847113,
S277,0.04082173967496156,,
S278,0.022453247482216936,,
S279,,,
S280,0.32530392765307653,,
S281,,,
S282,0.036280979614505104,,
S283,0.43514934264648897,,
S284,0.03894260456380799,,0.347014788193114
S285,0.01355231960212792,,0.013465881480105937
S286,,,
S287,0.1253754853735705,,
S288,0.013302602252815132,,
S289,0.02141469072197005,0.02932378477987462,
S290,0.037082896807552494,,0.07415500012831978
S291,,,
S292,0.08348893202894841,,
S293,0.014431001129385949,,
S294,0.14204016821910204,,
S295,,,
S296,0.035300686219294525,,
S297,,,
S298,0.03272637936593753,,0.03117138066427384
S299,1.3143059593494555,,
S300,0.016401628056688062,,0.0196968618618651
S301,0.14421954555791275,,
S302,0.023113553599963883,,
S303,0.025174395207097782,,
S304,,,
S305,0.10791881452669379,,
S306,0.01801210789391939,,
S307,0.23000369807093368,,
S308,0.8114851037928267,0.9234818792001456,0.023712536146252104
S309,0.04718576529076335,,0.7784124519383974
